title,skill,level,platform,duration_hours,rating,price,students_enrolled,instructor,last_updated,certificate,url
Advanced TensorFlow Techniques,TensorFlow,Advanced,Udemy,18,3.7,99.99,4205,Dr. Smith,2024-01,True,https://example.com/courses/tensorflow-advanced
Advanced PyTorch Techniques,PyTorch,Beginner,edX,4,4.1,29.99,28294,Dr. Garcia,2024-04,False,https://example.com/courses/pytorch-beginner
Complete PyTorch Course for Beginner,PyTorch,Beginner,edX,6,3.7,9.99,37232,Dr. Brown,2024-10,False,https://example.com/courses/pytorch-beginner
PyTorch Masterclass: From Intermediate to Advanced,PyTorch,Intermediate,Stanford Online,5,3.7,19.99,13491,Dr. Williams,2024-07,False,https://example.com/courses/pytorch-intermediate
PyTorch Masterclass: From Intermediate to Advanced,PyTorch,Intermediate,DataCamp,15,4.1,49.99,48827,Dr. Miller,2024-01,False,https://example.com/courses/pytorch-intermediate
Advanced PyTorch Techniques,PyTorch,Advanced,LinkedIn Learning,2,4.0,99.99,27800,Dr. Williams,2024-07,True,https://example.com/courses/pytorch-advanced
Learn Scikit-learn - Beginner Tutorial,Scikit-learn,Beginner,edX,18,4.1,9.99,42224,Dr. Miller,2024-08,False,https://example.com/courses/scikit-learn-beginner
Advanced Scikit-learn Techniques,Scikit-learn,Beginner,LinkedIn Learning,12,5.0,49.99,35794,Dr. Brown,2024-08,True,https://example.com/courses/scikit-learn-beginner
Learn Scikit-learn - Intermediate Tutorial,Scikit-learn,Intermediate,Udemy,10,3.9,9.99,8464,Dr. Jones,2024-04,True,https://example.com/courses/scikit-learn-intermediate
Advanced Scikit-learn Techniques,Scikit-learn,Intermediate,DataCamp,14,4.1,0.0,47867,Dr. Miller,2024-04,False,https://example.com/courses/scikit-learn-intermediate
Advanced Scikit-learn Techniques,Scikit-learn,Advanced,MIT OpenCourseWare,18,3.5,99.99,39549,Dr. Garcia,2024-10,True,https://example.com/courses/scikit-learn-advanced
Learn Scikit-learn - Advanced Tutorial,Scikit-learn,Advanced,edX,18,3.7,19.99,30221,Dr. Miller,2024-09,True,https://example.com/courses/scikit-learn-advanced
Scikit-learn Masterclass: From Advanced to Advanced,Scikit-learn,Advanced,Pluralsight,8,4.7,29.99,38536,Dr. Garcia,2024-09,False,https://example.com/courses/scikit-learn-advanced
